                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                   1.22,                0.74389,                 1.6025,                0.76469,                 0.6675,                0.75644,                0.66947,                 1.1438,                 1.4767,                 1.5938,             0.00017395,             0.00017395,             0.00017395
                    130,                 1.1625,                0.72791,                 1.6137,                0.71887,                0.72515,                 0.7897,                0.69814,                  1.143,                 1.4415,                 1.5958,             0.00017349,             0.00017349,             0.00017349
                    131,                 1.1417,                0.72359,                 1.6087,                0.68645,                0.76397,                0.81744,                 0.7167,                 1.1432,                 1.4347,                 1.5972,             0.00017303,             0.00017303,             0.00017303
                    132,                 1.1256,                0.72075,                 1.5922,                0.77131,                 0.6587,                0.79678,                 0.6884,                   1.21,                 1.4652,                 1.6053,             0.00017256,             0.00017256,             0.00017256
                    133,                 1.1143,                0.75716,                  1.589,                0.75635,                0.66515,                0.77563,                0.67863,                 1.1657,                 1.3747,                 1.5978,              0.0001721,              0.0001721,              0.0001721
                    134,                 1.0975,                0.71196,                 1.5823,                0.73184,                0.63907,                0.74479,                0.65499,                 1.1563,                 1.6703,                 1.5947,             0.00017164,             0.00017164,             0.00017164
                    135,                 1.1402,                 0.7248,                 1.5898,                0.64879,                0.73026,                0.75304,                 0.6615,                 1.1677,                 1.5914,                 1.5977,             0.00017118,             0.00017118,             0.00017118
                    136,                 1.1476,                0.70295,                 1.6103,                0.88048,                0.58181,                0.77676,                0.67449,                 1.2127,                 1.4554,                 1.6059,             0.00017072,             0.00017072,             0.00017072
                    137,                 1.1063,                0.70018,                 1.6056,                 0.7993,                 0.6919,                0.77617,                0.68418,                 1.1486,                  1.664,                  1.599,             0.00017026,             0.00017026,             0.00017026
                    138,                 1.1203,                 0.6917,                 1.5918,                0.78133,                0.69477,                0.80653,                0.70599,                 1.1517,                 1.7654,                 1.5988,              0.0001698,              0.0001698,              0.0001698
                    139,                 1.0926,                0.71427,                 1.5985,                0.78157,                0.72447,                0.81998,                0.71147,                 1.1868,                 1.2983,                 1.6007,             0.00016934,             0.00016934,             0.00016934
                    140,                  1.107,                0.69023,                 1.5975,                  0.721,                0.80349,                0.81483,                0.70844,                 1.1807,                 1.3576,                 1.6059,             0.00016887,             0.00016887,             0.00016887
                    141,                 1.1147,                0.76552,                 1.5912,                0.85592,                0.63001,                 0.8144,                0.70807,                 1.1763,                 1.3964,                 1.6004,             0.00016841,             0.00016841,             0.00016841
